date,group,home,away,status,real_score,exact_score,exact_prob,alt_scores,p_home,p_draw,p_away,xg_home,xg_away,scorer_home,scorer_away,result
2026-06-26,G,New Zealand,Belgium,pendiente,,0-1,12.5,0-2 (12%)  ·  1-1 (11%),13.9,22.5,63.6,0.77,1.91,"Chris Wood, Ben Waine","Romelu Lukaku, Kevin De Bruyne",Victoria Belgium 1-0 (visitante)
2026-06-26,H,Cape Verde,Saudi Arabia,pendiente,,1-1,13.6,0-1 (11%)  ·  0-0 (9%),31.0,28.7,40.2,1.12,1.31,"Dailon Livramento, Jamiro Monteiro","Firas Al-Buraikan, Saleh Al-Shehri",Empate 1-1
2026-06-26,H,Uruguay,Spain,pendiente,,0-2,13.4,0-1 (12%)  ·  1-1 (9%),10.7,19.8,69.5,0.7,2.1,"Darwin Núñez, Giorgian de Arrascaeta","Mikel Oyarzabal, Mikel Merino",Victoria Spain 2-0 (visitante)
2026-06-26,I,Norway,France,pendiente,,1-1,12.6,0-1 (12%)  ·  0-2 (10%),21.5,26.5,52.0,0.93,1.58,"Erling Haaland, Alexander Sørloth","Kylian Mbappé, Randal Kolo Muani",Empate 1-1
2026-06-26,I,Senegal,Iraq,pendiente,,1-0,12.4,1-1 (12%)  ·  2-0 (11%),56.9,25.0,18.1,1.71,0.86,"Sadio Mané, Ismaïla Sarr","Aymen Hussein, Mohanad Ali",Victoria Senegal 1-0
2026-06-27,J,Algeria,Austria,pendiente,,1-1,13.6,0-1 (11%)  ·  0-0 (9%),31.4,28.7,39.8,1.13,1.3,"Mohamed Amoura, Baghdad Bounedjah","Marko Arnautović, Michael Gregoritsch",Empate 1-1
2026-06-27,J,Jordan,Argentina,pendiente,,0-2,14.1,0-3 (13%)  ·  0-1 (10%),4.5,12.1,83.4,0.53,2.77,"Yazan Al-Naimat, Musa Al-Taamari","Lionel Messi, Lautaro Martínez",Victoria Argentina 2-0 (visitante)
2026-06-27,K,Colombia,Portugal,pendiente,,1-1,13.7,0-1 (10%)  ·  1-0 (10%),33.9,28.9,37.2,1.18,1.25,"Luis Díaz, Luis Suárez","Cristiano Ronaldo, Bruno Fernandes",Empate 1-1
2026-06-27,K,DR Congo,Uzbekistan,pendiente,,1-1,13.5,0-1 (11%)  ·  0-0 (9%),28.8,28.4,42.8,1.08,1.37,"Cédric Bakambu, Yoane Wissa","Abbosbek Fayzullaev, Eldor Shomurodov",Empate 1-1
2026-06-27,L,Panama,England,pendiente,,0-2,13.1,0-1 (12%)  ·  1-1 (10%),11.9,20.9,67.2,0.73,2.02,"Ismael Díaz, José Fajardo","Harry Kane, Bukayo Saka",Victoria England 2-0 (visitante)
2026-06-27,L,Croatia,Ghana,pendiente,,2-0,14.2,3-0 (12%)  ·  1-0 (11%),78.1,15.3,6.6,2.47,0.6,"Andrej Kramarić, Ivan Perišić","Jordan Ayew, Mohammed Kudus",Victoria Croatia 2-0
